Variable:,pr
,Albania,Berat,Bulqize,Delvine,Devoll,Diber,Durres,Elbasan,Fier,Gjirokaster,Gramsh,Has,Kavaje,Kolonje,Korce,Kruje,Kucove,Kukes,Kurbin,Lezhe,Librazhd,Lushnje,"Malesi E Madhe",Mallakaster,Mat,Mirdite,Peqin,Permet,Pogradec,Puke,Sarande,Shkoder,Skrapar,Tepelene,Tirane,Tropoje,Vlore
1952,1200.94,1145.20,1038.54,1421.13,838.98,1074.57,1219.94,1093.68,1118.10,1347.08,1128.50,1190.87,1167.98,1021.21,906.07,1296.08,1154.00,1100.46,1411.00,1418.82,1011.39,1150.50,1480.96,1175.43,1192.27,1255.83,1163.00,1282.94,897.13,1307.97,1445.30,1458.68,1181.36,1350.47,1141.06,1280.63,1300.19
1953,1031.19,1009.45,931.57,1294.86,782.66,928.45,1058.88,985.54,973.55,1241.30,1021.10,861.63,1044.09,1001.38,831.16,1096.23,1002.10,873.28,1134.00,1137.40,922.06,1006.01,1085.50,1022.75,1009.52,1038.77,1052.50,1197.22,819.32,984.13,1321.56,1096.25,1078.62,1196.99,1033.62,936.47,1144.94
1954,1400.78,1406.09,1247.77,1785.04,1005.44,1238.71,1469.63,1343.18,1386.90,1688.84,1368.30,1171.02,1438.74,1247.77,1088.61,1524.97,1426.50,1176.48,1596.70,1601.92,1235.15,1422.29,1445.93,1447.52,1378.94,1430.43,1441.90,1605.98,1075.95,1328.52,1823.43,1478.89,1448.45,1658.44,1411.74,1256.33,1598.79
1955,1317.30,1217.93,1222.81,1442.14,998.16,1274.90,1352.64,1230.41,1189.40,1408.06,1221.10,1288.17,1306.96,1161.67,1051.18,1423.03,1215.50,1257.93,1524.10,1532.39,1186.84,1229.55,1605.48,1239.49,1357.43,1409.42,1306.00,1369.80,1048.25,1429.35,1451.42,1588.27,1270.81,1411.67,1289.74,1393.72,1364.50
1956,1285.07,1264.35,1171.68,1652.15,1010.68,1162.55,1318.25,1236.22,1237.38,1575.40,1255.00,1052.66,1304.45,1222.75,1071.31,1344.21,1268.60,1092.51,1372.80,1379.35,1162.74,1270.74,1286.48,1302.12,1247.22,1274.13,1311.10,1508.73,1053.25,1179.55,1682.58,1305.11,1337.97,1541.26,1290.14,1121.54,1470.96
1957,1119.72,1063.72,1033.81,1282.51,839.93,1055.11,1168.07,1064.38,1044.80,1238.81,1073.20,1006.60,1140.45,989.42,894.15,1209.97,1057.80,1018.20,1270.40,1275.86,1013.23,1072.33,1305.71,1077.89,1132.69,1169.89,1140.00,1196.77,889.89,1149.69,1298.41,1296.20,1115.44,1232.35,1122.06,1107.42,1200.54
1958,1247.81,1203.75,1159.48,1432.47,871.27,1150.43,1327.41,1208.17,1175.49,1349.96,1212.40,1130.60,1291.00,1040.74,947.99,1386.62,1198.50,1107.50,1467.30,1475.10,1148.35,1213.40,1481.85,1211.66,1273.11,1319.74,1293.20,1282.73,952.71,1302.79,1459.78,1478.98,1239.78,1347.86,1273.53,1247.96,1317.74
1959,1339.47,1276.98,1263.90,1576.70,1037.16,1259.19,1376.76,1294.67,1218.05,1495.56,1310.40,1186.70,1345.40,1225.92,1099.05,1448.24,1257.50,1199.46,1528.50,1532.26,1253.13,1268.90,1509.64,1282.07,1361.82,1401.46,1355.30,1431.35,1095.78,1358.81,1604.63,1512.16,1351.81,1463.18,1342.67,1301.20,1401.88
1960,1387.59,1340.83,1265.56,1680.38,1020.01,1267.28,1456.61,1325.09,1315.59,1594.13,1334.70,1193.58,1421.37,1226.79,1093.29,1502.66,1343.50,1203.68,1574.30,1584.01,1247.80,1354.46,1575.14,1369.07,1385.95,1432.17,1419.70,1521.36,1084.51,1376.73,1712.44,1573.60,1398.00,1575.13,1395.58,1309.27,1519.92
1961,967.00,904.61,902.12,1149.82,738.13,904.22,984.55,919.04,884.30,1085.13,917.50,889.29,959.30,876.68,782.71,1023.87,896.80,886.22,1078.50,1084.57,891.58,907.39,1145.34,914.04,969.70,996.84,960.60,1035.30,778.95,1003.76,1174.78,1127.51,956.71,1047.59,952.38,976.25,1005.19
1962,1377.69,1291.69,1284.66,1715.93,1082.96,1277.48,1359.99,1307.85,1197.78,1608.69,1371.20,1249.17,1324.21,1278.59,1153.02,1444.32,1245.90,1229.88,1537.00,1541.26,1272.42,1253.97,1546.74,1285.89,1379.59,1418.68,1337.00,1528.33,1142.47,1395.91,1759.37,1539.45,1424.53,1541.29,1331.07,1345.03,1448.69
1963,1389.91,1298.85,1294.92,1617.90,1063.14,1324.09,1423.84,1316.85,1236.27,1535.61,1350.00,1288.56,1386.40,1235.89,1133.95,1496.34,1269.30,1280.03,1584.80,1591.79,1267.31,1287.65,1626.06,1301.97,1417.73,1464.64,1393.90,1469.03,1127.08,1451.46,1646.16,1619.39,1391.59,1515.59,1377.11,1399.14,1449.95
1964,1164.98,1086.73,1083.87,1306.98,902.36,1106.83,1165.20,1094.65,1038.73,1271.41,1110.00,1115.28,1125.18,1055.51,952.91,1237.95,1073.00,1089.71,1332.90,1337.95,1062.34,1077.80,1418.53,1093.37,1186.52,1228.10,1128.00,1235.74,946.53,1248.53,1321.00,1388.27,1152.15,1247.33,1120.99,1218.43,1193.75
1965,1007.08,942.80,933.04,1193.51,752.36,942.42,1003.10,946.87,921.66,1107.49,931.00,959.79,969.90,894.32,796.38,1064.40,949.00,932.73,1142.30,1147.81,917.64,948.69,1232.61,967.43,1015.48,1049.52,974.20,1046.30,792.91,1070.45,1222.25,1196.21,969.29,1099.25,968.67,1046.22,1068.22
1966,1323.50,1286.55,1241.32,1560.35,964.11,1211.81,1370.26,1284.22,1299.13,1461.56,1198.70,1198.38,1336.65,1178.74,1018.76,1426.53,1335.60,1182.45,1501.00,1508.87,1236.36,1329.68,1548.71,1341.86,1329.07,1366.66,1340.30,1388.18,1020.23,1351.31,1593.42,1522.85,1260.55,1454.30,1328.33,1302.11,1423.44
1967,1026.38,941.20,992.82,1066.82,757.89,1044.15,1050.57,975.21,912.29,1040.16,933.90,1058.64,1015.62,862.78,795.65,1130.57,945.00,1031.36,1222.00,1224.19,958.46,954.03,1280.06,951.38,1099.16,1139.96,1024.70,1011.77,802.31,1161.16,1075.95,1260.91,961.01,1031.06,1017.36,1137.96,1002.38
1968,1234.69,1171.40,1128.06,1359.61,879.82,1181.46,1260.11,1151.37,1155.00,1325.71,1156.30,1202.59,1217.34,1039.28,944.77,1337.17,1179.40,1159.92,1439.30,1443.67,1090.67,1182.97,1501.83,1198.03,1268.23,1322.15,1218.90,1285.08,944.50,1341.09,1368.08,1482.95,1201.12,1353.41,1201.03,1304.19,1323.28
1969,1345.11,1284.51,1258.75,1502.47,955.99,1299.69,1386.59,1277.26,1247.66,1452.22,1259.10,1276.94,1334.97,1143.23,1029.52,1476.58,1298.30,1254.20,1597.90,1604.03,1223.42,1297.09,1603.25,1310.56,1404.44,1461.45,1336.10,1401.64,1032.16,1431.82,1519.37,1591.78,1308.34,1453.36,1322.07,1377.89,1407.96
1970,1189.10,1126.10,1099.22,1274.56,866.04,1124.37,1209.80,1122.16,1090.03,1241.54,1100.60,1160.23,1170.07,1004.45,924.05,1298.26,1140.10,1117.96,1400.30,1403.78,1074.74,1137.93,1504.30,1152.33,1222.45,1272.67,1180.10,1204.99,924.05,1317.01,1282.08,1472.64,1136.97,1268.90,1166.59,1285.56,1226.59
