Variable:,pr
,Ukraine,Cherkas'ka,Chernihivs'ka,Chernivets'ka,Dnipropetrovs'ka,Donets'ka,Ivano-frankivs'ka,Kharkivs'ka,Khersons'ka,Khmel'nyts'ka,Kirovohrads'ka,Krym,Kyyivs'ka,L'vivs'ka,Luhans'ka,Mykolayivs'ka,Odes'ka,Poltavs'ka,Rivnens'ka,Sums'ka,Ternopil's'ka,Vinnyts'ka,Volyns'ka,Zakarpats'ka,Zaporiz'ka,Zhytomyrs'ka
1997,660.31,663.16,623.55,699.49,660.47,661.85,813.00,658.04,616.55,642.90,657.41,678.68,652.91,763.47,605.57,616.06,603.10,650.26,659.81,675.69,672.89,654.60,639.99,811.08,651.56,682.43
1998,599.88,561.81,670.19,736.83,505.13,500.97,903.87,527.27,444.12,666.80,524.92,505.44,641.74,835.16,486.91,483.58,486.08,564.61,709.55,649.44,720.50,614.17,691.40,927.18,502.26,714.85
1999,546.34,502.38,601.09,624.99,485.54,502.49,788.12,473.17,459.54,562.36,484.10,552.05,577.02,728.79,466.58,450.87,448.84,499.42,595.79,568.87,603.75,530.82,576.51,868.18,515.59,617.69
2000,520.39,508.81,566.89,520.95,455.63,491.61,635.69,485.45,387.28,561.29,473.15,436.78,572.42,679.62,489.48,428.56,400.71,494.69,619.16,567.12,575.91,525.21,618.51,671.73,463.51,628.48
2001,629.94,603.46,632.32,768.73,564.35,628.70,899.98,614.29,468.23,698.68,565.47,533.01,639.27,838.46,628.84,499.82,484.36,606.27,707.21,659.04,737.26,655.14,681.17,908.96,552.42,690.14
2002,543.15,568.68,558.35,569.92,497.47,508.18,663.33,535.32,426.93,563.61,523.52,478.54,603.94,639.09,489.78,463.14,468.84,562.63,575.59,568.31,563.82,585.01,534.48,731.99,477.68,631.03
2003,519.64,516.79,569.80,496.28,517.59,533.40,594.61,563.48,415.90,497.74,499.14,468.25,538.37,566.90,534.24,432.52,408.85,569.81,530.10,608.73,503.28,490.92,498.30,639.56,489.74,564.91
2004,642.54,610.68,613.33,622.58,666.10,691.01,767.97,687.54,596.64,566.46,644.84,642.12,613.49,710.75,676.57,608.59,576.49,654.86,622.99,663.37,594.20,573.11,608.03,864.97,669.62,633.92
2005,598.85,586.85,600.74,680.70,556.66,606.87,824.83,596.07,481.56,599.97,560.33,556.09,614.26,706.64,629.07,522.13,532.74,574.98,593.04,605.54,626.91,611.26,550.88,892.95,561.12,637.90
2006,555.96,555.21,619.59,663.03,487.16,503.35,798.69,503.32,440.85,592.49,511.50,493.43,608.45,701.00,507.32,467.07,447.21,541.50,575.97,600.04,629.23,575.60,542.82,819.43,486.76,634.50
2007,532.89,504.78,580.69,663.83,461.59,446.78,818.38,528.15,379.95,597.98,457.09,451.37,563.39,718.71,445.14,395.27,416.21,512.70,624.08,567.34,635.90,550.07,599.81,877.64,428.32,629.57
2008,549.99,554.88,596.01,701.31,459.26,430.90,836.38,444.89,419.94,636.52,515.12,430.59,605.51,758.58,399.34,462.25,447.71,510.46,682.72,537.27,676.16,586.67,677.00,847.42,450.09,676.10
2009,565.94,516.91,621.85,558.15,547.12,572.97,709.34,574.23,439.95,531.68,512.65,488.44,559.83,748.05,538.61,453.06,438.67,576.70,687.35,615.27,573.04,489.34,702.51,803.80,536.18,616.43
