Variable:,pr
,Norway,Akershus,Aust-agder,Buskerud,Finnmark,Hedmark,Hordaland,"Moere Og Romsdal",Nord-troendelag,Nordland,Oestfold,Oppland,Oslo,Rogaland,Soer-Troendelag,"Sogn og Fjordane",Telemark,Troms,Vest-Agder,Vestfold
2012,1169.40,975.35,1378.80,966.36,625.69,778.85,2232.18,1602.16,1229.50,1329.62,1013.73,899.77,1019.77,2087.45,1063.26,2019.51,1064.82,792.44,1800.87,1109.49
2013,1061.73,711.66,1174.76,786.84,561.61,596.62,1941.50,1462.95,1166.64,1510.69,753.68,759.88,770.08,1838.51,928.27,1794.20,883.92,829.31,1563.19,873.42
2014,1061.18,928.22,1433.82,937.83,536.48,675.93,2236.65,1354.53,871.75,1173.65,984.49,815.93,994.65,2185.16,800.91,1901.43,1076.30,691.20,1925.34,1139.47
2015,1257.98,924.06,1536.33,996.03,591.03,736.30,2496.45,1706.49,1256.47,1645.49,960.43,914.02,1004.42,2435.78,1054.58,2225.91,1139.82,866.52,2114.18,1155.50
2016,1054.78,744.12,1150.91,799.84,607.23,622.62,1839.25,1495.82,1191.82,1409.25,762.08,774.16,805.33,1754.02,972.89,1751.45,889.58,779.23,1520.43,898.73
2017,1266.85,913.53,1537.43,1006.52,663.43,714.13,2480.43,1723.49,1294.05,1585.65,964.32,911.83,1001.57,2426.12,1074.85,2209.53,1157.76,910.76,2087.81,1166.73
2018,1009.58,645.21,1130.70,724.12,608.67,528.34,1886.72,1376.65,1080.77,1380.48,672.67,691.50,710.98,1810.71,852.72,1723.93,832.96,792.82,1549.89,827.87
2019,1180.49,931.38,1421.90,941.83,653.15,735.09,2121.51,1546.81,1217.23,1521.99,991.69,871.87,993.63,2109.35,1030.32,1918.77,1076.12,876.87,1905.46,1141.63
2020,1293.70,955.36,1445.16,1014.74,715.40,789.21,2488.99,1792.24,1305.48,1614.79,956.23,966.38,1031.18,2298.61,1150.38,2265.19,1112.77,977.13,1925.01,1130.90
2021,1039.49,685.55,1069.67,727.43,621.44,599.09,1691.99,1444.15,1230.55,1551.69,710.33,727.30,731.55,1615.22,958.52,1646.18,813.68,851.06,1420.59,831.03
